Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Contract Note,Total Value ($)
"KSS","KLEOS CDI 1:1 (CHESS DEPOSITARY INTERESTS 1:1)",30/11/2020,"Buy","1665","0.6000","999.0000","10.0000","0.9100","109903244","1009.0000"
"KSS","KLEOS CDI 1:1 (CHESS DEPOSITARY INTERESTS 1:1)",10/12/2020,"Buy","1849","0.5400","998.4600","10.0000","0.9100","110454268","1008.4600"
"LCL","LOS CERROS LIMITED FPO (ORDINARY FULLY PAID)",24/03/2021,"Buy","14666","0.1500","2199.9000","19.9500","1.8100","116117859","2219.8500"
"LCL","LOS CERROS LIMITED FPO (ORDINARY FULLY PAID)",31/03/2021,"Buy","6791","0.1450","984.7000","10.0000","0.9100","116388336","994.7000"
"LCL","LOS CERROS LIMITED FPO (ORDINARY FULLY PAID)",21/04/2021,"Buy","5882","0.1700","999.9400","10.0000","0.9100","117233207","1009.9400"
"LRS","LATIN RESOURCES LTD FPO (ORDINARY FULLY PAID)",15/03/2021,"Buy","36065","0.0610","2199.9700","19.9500","1.8100","115642040","2219.9200"
"LRS","LATIN RESOURCES LTD FPO (ORDINARY FULLY PAID)",16/03/2021,"Buy","37931","0.0580","2200.0000","19.9500","1.8100","115676360","2219.9500"
"LRS","LATIN RESOURCES LTD FPO (ORDINARY FULLY PAID)",23/03/2021,"Buy","40740","0.0540","2199.9600","19.9500","1.8100","115987846","2219.9100"
"LRS","LATIN RESOURCES LTD FPO (ORDINARY FULLY PAID)",25/03/2021,"Sell","-114736","0.0470","-5392.5900","19.9500","1.8100","116160619","-5372.6400"
"MEP","MINOTAUR EXPLORATION FPO (ORDINARY FULLY PAID)",27/10/2020,"Buy","13424","0.0730","979.9500","10.0000","0.9100","108292836","989.9500"
"MEP","MINOTAUR EXPLORATION FPO (ORDINARY FULLY PAID)",22/03/2021,"Sell","-13424","0.1850","-2483.4400","19.9500","1.8100","115953781","-2463.4900"
"MHC","MANHATTAN CORP LTD FPO (ORDINARY FULLY PAID)",26/03/2021,"Buy","137500","0.0160","2200.0000","19.9500","1.8100","116195109","2219.9500"
"MLM","METALLICA MINERALS FPO (ORDINARY FULLY PAID)",08/04/2021,"Buy","32258","0.0310","1000.0000","10.0000","0.9100","116714925","1010.0000"
"MLM","METALLICA MINERALS FPO (ORDINARY FULLY PAID)",27/04/2021,"Buy","17741","0.0310","549.9700","10.0000","0.9100","117464948","559.9700"
"MTB","MOUNT BURGESS MINING FPO (ORDINARY FULLY PAID)",12/04/2021,"Buy","51350","0.0070","359.4500","10.0000","0.9100","116838902","369.4500"
"MTB","MOUNT BURGESS MINING FPO (ORDINARY FULLY PAID)",13/04/2021,"Buy","32063","0.0070","224.4400","0.0000","0.0000","116896008","224.4400"
"MTB","MOUNT BURGESS MINING FPO (ORDINARY FULLY PAID)",16/04/2021,"Buy","230872","0.0070","1616.1000","9.9600","0.9100","117030410","1626.0600"
"NAE","NEW AGE EXPLORATION FPO (ORDINARY FULLY PAID)",25/03/2021,"Buy","169230","0.0130","2199.9900","19.9500","1.8100","116176140","2219.9400"
"NET","NETLINKZ LIMITED FPO (ORDINARY FULLY PAID)",24/09/2020,"Buy","15000","0.0660","990.0000","10.0000","0.9100","106712346","1000.0000"
"NET","NETLINKZ LIMITED FPO (ORDINARY FULLY PAID)",26/03/2021,"Sell","-15000","0.0430","-645.0000","10.0000","0.9100","116228156","-635.0000"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",31/07/2020,"Buy","12083","0.0480","579.9800","10.0000","0.9100","103761498","589.9800"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",25/08/2020,"Buy","12826","0.0460","590.0000","10.0000","0.9100","104964102","600.0000"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",02/12/2020,"Buy","5550","0.1800","999.0000","10.0000","0.9100","110033483","1009.0000"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",14/12/2020,"Buy","6445","0.1550","998.9800","10.0000","0.9100","110589051","1008.9800"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",14/12/2020,"Buy","6243","0.1600","998.8800","10.0000","0.9100","110588353","1008.8800"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",28/01/2021,"Buy","11764","0.1700","1999.8800","19.9500","1.8100","112665208","2019.8300"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",29/01/2021,"Buy","13333","0.1650","2199.9500","19.9500","1.8100","112846707","2219.9000"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",08/02/2021,"Buy","13750","0.1600","2200.0000","19.9500","1.8100","113308219","2219.9500"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",18/02/2021,"Buy","6666","0.1500","999.9000","10.0000","0.9100","114167791","1009.9000"
"NVA","NOVA MINERALS LTD FPO (ORDINARY FULLY PAID)",23/03/2021,"Buy","6250","0.1600","1000.0000","10.0000","0.9100","116037802","1010.0000"
"OAR","OAKDALE RESOURCE LTD FPO (ORDINARY FULLY PAID)",02/09/2020,"Buy","83333","0.0120","1000.0000","10.0000","0.9100","105499915","1010.0000"
