index,Code,Date,Type,Typeord,Qty,SellQuantity,BuyQuantity,UnitPrice,Amount,ContractNote,Dtdifference,GainAmount,Expenses,Taxable_GainLoss,SubTotalExpenses,SubTotalGainAmount,SubTotalTaxable_GainLoss
52,KFM,2021-04-21,Totals,3,0,-15311,15311,0.0,0.0,0,0.0,0.0,0.0,0.0,54.49,1287.3300000000004,1204.0100000000004
53,KFM,2022-01-07,Buy,1,0,0,5263,0.19,999.97,128274944,164.0,473.67000000000013,10.91,473.67000000000013,0.0,0.0,0.0
54,KFM,2021-12-15,Buy,1,0,0,3882,0.17,659.94,127625113,187.0,427.02000000000004,0.0,427.02000000000004,0.0,0.0,0.0
55,KFM,2021-12-10,Buy,1,0,0,2000,0.17,340.0,127506615,192.0,220.00000000000003,10.91,220.00000000000003,0.0,0.0,0.0
56,KFM,2021-04-21,Buy,1,0,0,4166,0.24,999.8399999999999,117287159,425.0,166.64000000000016,10.91,83.32000000000008,0.0,0.0,0.0
57,KFM,2022-06-20,Sell,0,0,-15311,0,0.28,-4287.080000000001,134525095,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
58,KIN,2020-01-28,Totals,3,0,-24583,24583,0.0,0.0,0,0.0,0.0,0.0,0.0,43.58,1061.2549999999999,468.1299999999999
59,KIN,2021-03-22,Buy,1,0,0,8333,0.12,999.9599999999999,115927301,315.0,-124.99499999999999,10.91,-124.99499999999999,0.0,0.0,0.0
60,KIN,2020-01-29,Buy,1,0,0,15150,0.032,484.8,95016178,733.0,1105.9499999999998,0.0,552.9749999999999,0.0,0.0,0.0
61,KIN,2020-01-28,Buy,1,0,0,1100,0.032,35.2,95004866,734.0,80.3,10.91,40.15,0.0,0.0,0.0
62,KIN,2022-01-31,Sell,0,0,-24583,0,0.105,-2581.2149999999997,129363574,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
63,KSS,2019-11-27,Totals,3,0,-81771,81771,0.0,0.0,0,0.0,0.0,0.0,0.0,401.1700000000001,33284.2231,16781.803499999998
64,KSS,2020-12-10,Buy,1,0,0,1849,0.54,998.46,110454268,361.0,279.38390000000004,10.91,279.38390000000004,0.0,0.0,0.0
65,KSS,2020-11-30,Buy,1,0,0,1665,0.6,999.0,109903244,371.0,151.6815000000001,10.91,75.84075000000006,0.0,0.0,0.0
66,KSS,2020-11-02,Buy,1,0,0,1661,0.59,979.9899999999999,108536056,399.0,167.92710000000014,10.910000000000002,83.96355000000007,0.0,0.0,0.0
67,KSS,2020-11-02,Buy,1,0,0,1704,0.575,979.8,108536108,399.0,197.83440000000016,10.91,98.91720000000008,0.0,0.0,0.0
68,KSS,2020-11-02,Buy,1,0,0,3111,0.66,2053.26,108531845,399.0,96.75210000000006,21.76,48.37605000000003,0.0,0.0,0.0
69,KSS,2020-10-29,Buy,1,0,0,1455,0.68,989.4000000000001,108397037,403.0,16.150499999999997,10.91,8.075249999999999,0.0,0.0,0.0
70,KSS,2020-10-02,Buy,1,0,0,2653,0.26,689.78,107125864,430.0,1143.7083,10.91,571.85415,0.0,0.0,0.0
71,KSS,2020-10-02,Buy,1,0,0,3396,0.265,899.94,107125872,430.0,1447.0356000000002,10.91,723.5178000000001,0.0,0.0,0.0
72,KSS,2020-09-24,Buy,1,0,0,3236,0.275,889.9000000000001,106688358,438.0,1346.4996,10.91,673.2498,0.0,0.0,0.0
73,KSS,2020-09-22,Buy,1,0,0,2214,0.28,619.9200000000001,106599230,440.0,910.1754000000001,10.91,455.08770000000004,0.0,0.0,0.0
74,KSS,2020-09-14,Buy,1,0,0,2181,0.275,599.7750000000001,106189627,448.0,907.5141000000001,10.91,453.75705000000005,0.0,0.0,0.0
75,KSS,2020-09-01,Buy,1,0,0,3038,0.26,789.88,105373200,461.0,1309.6818,10.91,654.8409,0.0,0.0,0.0
76,KSS,2020-08-21,Buy,1,0,0,2557,0.305,779.885,104798162,472.0,987.2577000000001,10.91,493.62885000000006,0.0,0.0,0.0
77,KSS,2020-07-02,Buy,1,0,0,2122,0.245,519.89,102391153,522.0,946.6242000000001,10.91,473.31210000000004,0.0,0.0,0.0
78,KSS,2020-06-26,Buy,1,0,0,2480,0.25,620.0,102123620,528.0,1093.928,10.91,546.964,0.0,0.0,0.0
79,KSS,2020-06-12,Buy,1,0,0,3520,0.25,880.0,101315951,542.0,1552.6720000000003,10.909999999999998,776.3360000000001,0.0,0.0,0.0
80,KSS,2020-06-11,Buy,1,0,0,3735,0.265,989.7750000000001,101217702,543.0,1591.4835,10.91,795.74175,0.0,0.0,0.0
81,KSS,2020-05-14,Buy,1,0,0,4400,0.2,880.0,99674392,571.0,2160.84,10.91,1080.42,0.0,0.0,0.0
82,KSS,2020-05-08,Buy,1,0,0,4125,0.16,660.0,99408621,577.0,2190.7875,10.91,1095.39375,0.0,0.0,0.0
83,KSS,2020-05-08,Buy,1,0,0,5939,0.165,979.9350000000001,99402548,577.0,3124.5079,10.91,1562.25395,0.0,0.0,0.0
84,KSS,2020-05-07,Buy,1,0,0,5657,0.175,989.9749999999999,99373290,578.0,2919.5777,10.91,1459.78885,0.0,0.0,0.0
85,KSS,2020-05-04,Buy,1,0,0,2971,0.175,519.925,99176134,581.0,1533.3331,10.91,766.66655,0.0,0.0,0.0
86,KSS,2020-04-01,Buy,1,0,0,3058,0.17,519.86,97635951,614.0,1593.5238,10.91,796.7619,0.0,0.0,0.0
87,KSS,2020-03-12,Buy,1,0,0,6250,0.21,1312.5,96431420,634.0,3006.8750000000005,21.76,1503.4375000000002,0.0,0.0,0.0
88,KSS,2020-02-28,Buy,1,0,0,2080,0.25,520.0,95818786,647.0,917.488,10.91,458.744,0.0,0.0,0.0
